Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 18 anos ou mais de idade 2010,Renda per capita 2010
Santa Bárbara do Pará (PA),72.06,21.1,9.01,287.25
Santa Bárbara do Sul (RS),75.48,12.1,7.21,689.09
Santa Bárbara do Tugúrio (MG),73.57,17.6,15.42,370.7
Santa Bárbara (MG),73.97,17,6.2,535.84
Santa Branca (SP),74.68,15.2,7.26,645.59
Santa Brígida (BA),67.58,35.4,37.06,220.77
Santa Carmem (MT),74.64,15.9,8.71,635.43
Santa Cecília do Pavão (PR),75.28,12.3,18.94,553.12
Santa Cecília do Sul (RS),75.34,13.1,5.47,1029.23
Santa Cecília (PB),66.94,37.7,38.98,197.49
Santa Cecília (SC),74.12,14.8,10.47,610.94
Santa Clara D'Oeste (SP),73.25,17.6,11.42,672.98
Santa Clara do Sul (RS),75.57,12.8,4.07,833.67
Santa Cruz Cabrália (BA),72.03,21.6,17.2,388.28
Santa Cruz da Baixa Verde (PE),72.14,20.9,27.8,256.26
Santa Cruz da Conceição (SP),77.56,11.1,5.65,1400.46
Santa Cruz da Esperança (SP),74.89,14.9,5.82,700.57
Santa Cruz das Palmeiras (SP),73.87,16.5,8.62,829.66
Santa Cruz da Vitória (BA),72.17,21.2,26.16,282.42
Santa Cruz de Goiás (GO),74.64,13.7,15.18,624.37
Santa Cruz de Minas (MG),75.35,14.8,5.53,485.28
Santa Cruz de Monte Castelo (PR),74.83,12.9,13.79,552.67
Santa Cruz de Salinas (MG),70.41,23.4,29.12,242.55
Santa Cruz do Arari (PA),71.51,22.5,12.37,161.13
Santa Cruz do Capibaribe (PE),73.35,17.9,17.12,507.05
Santa Cruz do Escalvado (MG),73.91,17.1,16.69,374.23
Santa Cruz do Piauí (PI),68.22,33.6,37.82,278.49
Santa Cruz do Rio Pardo (SP),77,10.9,5.77,818.3
Santa Cruz dos Milagres (PI),68.14,33.9,36.62,208.49
Santa Cruz do Sul (RS),76.1,11.76,3.51,1036.87
Santa Cruz do Xingu (MT),74.7,15.8,9.68,639.44
Santa Cruz (PB),71.73,22.4,29.86,291.16
Santa Cruz (PE),68.31,32.3,35.17,206.07
Santa Cruz (RN),70.67,24.7,26.13,327.61
Santa Efigênia de Minas (MG),72.57,19.4,21.87,293.27
Santa Ernestina (SP),73.14,17.8,7.6,688.24
Santa Fé de Goiás (GO),75.84,12.1,13.67,635.23
Santa Fé de Minas (MG),73.26,18.2,20.41,313.25
Santa Fé do Araguaia (TO),73.21,18,21.72,342.15
Santa Fé do Sul (SP),75.41,13,6.79,924.06
Santa Fé (PR),73.5,15.8,9.26,709.44
Santa Filomena do Maranhão (MA),68.31,35,34.57,140.76
Santa Filomena (PE),70.1,26.6,34.68,175.48
Santa Filomena (PI),72.34,21.2,26.69,216.61
Santa Gertrudes (SP),75.84,13.5,4.88,718.03
Santa Helena de Goiás (GO),74.4,14,13.18,769.09
Santa Helena de Minas (MG),68.37,27.8,34.03,218.43
Santa Helena (MA),69.73,30.2,24.45,217.94
Santa Helena (PB),72.16,21.3,27.99,277.52
Santa Helena (PR),74.38,13.6,8.25,791.53
Santa Helena (SC),74.99,13.6,10.62,644.48
Santa Inês (BA),67.25,36.6,30.51,280.25
Santa Inês (MA),72.25,22.7,18.92,411.04
Santa Inês (PB),67.35,36.2,34.92,229.72
Santa Inês (PR),74.61,13.2,14.05,533.95
Santa Isabel do Ivaí (PR),74.04,15,12.84,610.69
Santa Isabel do Pará (PA),72.87,19,10.15,384.17
Santa Isabel do Rio Negro (AM),69.2,27.9,33.43,141.04
Santa Isabel (GO),74.09,14.4,14.98,480.67
Santa Isabel (SP),75.02,14.7,7.98,623.11
Santa Izabel do Oeste (PR),74.57,13.3,10.49,540.49
Santa Juliana (MG),77.06,12.4,7.58,735
Santa Leopoldina (ES),72.79,17.3,14.14,445.57
Santa Lúcia (PR),72.7,17,13.78,578.04
Santa Lúcia (SP),74.1,16.2,8.53,609.37
Santaluz (BA),70.82,25,25.42,260.09
Santa Luzia (BA),71.07,24.2,32.31,267.88
Santa Luzia D'Oeste (RO),73.73,16.3,14.13,476.08
Santa Luzia do Itanhy (SE),70.82,25.1,36.6,194.24
Santa Luzia do Norte (AL),71.17,25.8,25.05,295.95
Santa Luzia do Pará (PA),68.41,31.9,27.08,217.11
Santa Luzia do Paruá (MA),68.4,34.7,25.97,301.39
Santa Luzia (MA),67.02,39.8,36.18,210.3
Santa Luzia (MG),76.52,11.3,5.08,557.62
Santa Luzia (PB),73.23,18.5,21.25,379.3
Santa Luz (PI),71.1,24.6,28.26,228.71
Santa Margarida do Sul (RS),77.22,10,13.27,588.3
Santa Margarida (MG),72.07,20.2,12.78,416.11
Santa Maria da Boa Vista (PE),71.39,22.9,22.84,267.86
Santa Maria das Barreiras (PA),72,21.2,19.87,253.55
Santa Maria da Serra (SP),74.18,16,9.15,578.55
Santa Maria da Vitória (BA),70.49,25.9,25.97,318.31
Santa Maria de Itabira (MG),74.24,16.5,15.1,382.99
Santa Maria de Jetibá (ES),75.04,14,11.7,603.33
Santa Maria do Cambucá (PE),69.08,29.8,37.83,279.1
Santa Maria do Herval (RS),75.77,11.7,1.98,689.47
Santa Maria do Oeste (PR),72.37,16.5,15.84,334.84
Santa Maria do Pará (PA),70.85,24.4,21.67,323.98
Santa Maria do Salto (MG),70.92,22.4,30.48,321.15
Santa Maria do Suaçuí (MG),74.03,16.9,26.25,401.16
Santa Maria do Tocantins (TO),72.05,20.9,19.17,334.09
Santa Maria Madalena (RJ),72.79,17.3,13.68,522.66
Santa Mariana (PR),73.25,15.2,14.62,564.1
Santa Maria (RN),71.73,21.8,31.19,251.9
Santa Maria (RS),75.89,11.6,3.33,1127.25
Santa Mercedes (SP),75.79,13.5,12.6,561.64
Santa Mônica (PR),72.53,17.3,13.81,614.27
Santana (AP),72.65,17.7,10.65,469.24
Santana (BA),71.58,22.8,27.9,304.18
Santana da Boa Vista (RS),73.13,15.4,14.78,404.01
Santana da Ponte Pensa (SP),75.41,13,9.42,856.78
Santana da Vargem (MG),75.98,13.9,9.58,553.7
Santana de Cataguases (MG),72.58,19.3,11.87,437.81
Santana de Mangueira (PB),70.36,26.3,39.08,166.28
Santana de Parnaíba (SP),75.92,15.49,4.78,1858.69
Santana de Pirapama (MG),73.93,17,18.83,373.14
Santana do Acaraú (CE),70.28,25.6,32.07,224.83
Santana do Araguaia (PA),71.43,22.8,15.84,316.81
Santana do Cariri (CE),71.72,21.6,32.97,212.7
Santana do Deserto (MG),75.93,13.9,10.2,484.73
Santana do Garambéu (MG),74.32,16.4,17.84,452.48
Santana do Ipanema (AL),71.17,25.8,31.06,293.85
Santana do Itararé (PR),75.87,11.6,17.32,467.18
Santana do Jacaré (MG),72.37,19.7,16.23,470.2
Sant'Ana do Livramento (RS),75.77,11.7,4.47,685.04
Santana do Manhuaçu (MG),73.53,17.7,18.91,383.28
Santana do Maranhão (MA),70.45,27.9,37.83,127.77
Santana do Matos (RN),71.04,23.6,30.69,258.64
Santana do Mundaú (AL),70.13,29,42.22,194.87
Santana do Paraíso (MG),77.66,11.5,9.97,495.81
Santana do Piauí (PI),69.16,30.5,32.4,228.52
Santana do Riacho (MG),75.02,15.3,16.36,432.77
Santana do São Francisco (SE),67.98,34.2,22.73,236.25
Santana do Seridó (RN),71.04,23.6,20.66,325.16
Santana dos Garrotes (PB),71.3,23.6,37.73,274.26
Santana dos Montes (MG),73.04,18.5,11.8,352.48
Santanópolis (BA),69.76,28.1,26.19,263.19
Santa Quitéria (CE),71.48,22.3,29.94,238.84
Santa Quitéria do Maranhão (MA),70.61,27.4,35.61,168.77
Santarém Novo (PA),71.42,22.8,18.86,203
Santarém (PA),73.44,17.91,8.07,409.07
Santarém (PB),70.91,24.7,38.54,249.67
Santa Rita de Caldas (MG),74.36,16.3,8.78,597.4
Santa Rita de Cássia (BA),70.93,24.6,22.93,267.32
Santa Rita de Ibitipoca (MG),72.6,19.3,18.56,391.79
Santa Rita de Jacutinga (MG),74.58,16,13.14,535.45
Santa Rita de Minas (MG),72.48,19.5,17.39,395.61
Santa Rita do Araguaia (GO),75.5,12.5,10.66,634.76
Santa Rita D'Oeste (SP),75.31,14.3,12.01,666.14
Santa Rita do Itueto (MG),71.76,20.8,20.03,352.98
Santa Rita do Novo Destino (GO),74.19,14.3,24.79,425.3
Santa Rita do Pardo (MS),73.01,21.5,13.47,471.42
Santa Rita do Passa Quatro (SP),78.22,9.5,4.65,930.59
Santa Rita do Sapucaí (MG),74.8,15.6,9.09,738.4
Santa Rita do Tocantins (TO),74.8,14.4,16.1,402.99
Santa Rita do Trivelato (MT),76.1,13.7,5.6,790.41
Santa Rita (MA),69.59,30.7,23.93,249.26
Santa Rita (PB),71.43,21.18,22.01,328.16
Santa Rosa da Serra (MG),76.95,12.5,13.4,603.01
Santa Rosa de Goiás (GO),75.65,12.3,15.98,438.54
Santa Rosa de Lima (SC),75.55,12.8,5.25,731.43
Santa Rosa de Lima (SE),70.94,24.8,29.28,213.07
Santa Rosa de Viterbo (SP),77.1,11.7,5.18,829.2
Santa Rosa do Piauí (PI),66.96,38.2,33.91,229.29
Santa Rosa do Purus (AC),71.86,22.4,27.62,201.58
Santa Rosa do Sul (SC),73.38,16,7.09,630.29
Santa Rosa do Tocantins (TO),71.77,21.6,19.44,284.63
Santa Rosa (RS),77.25,9.53,3.95,863.61
Santa Salete (SP),76.83,12.1,6.18,673.2
Santa Teresa (ES),75.04,14,10.38,716.25
Santa Teresinha (BA),73.24,18.5,27.6,243.04
Santa Teresinha (PB),74.19,16.2,29.29,306.95
Santa Tereza de Goiás (GO),74.47,13.9,15.11,416.11
Santa Tereza do Oeste (PR),73.47,15.8,8.09,573.27
Santa Tereza do Tocantins (TO),74,16.2,15.86,373.96
Santa Tereza (RS),76.17,11.2,3.66,935.56
Santa Terezinha de Goiás (GO),74.56,13.8,15.5,447.39
Santa Terezinha de Itaipu (PR),73.81,14.4,7.81,688.34
Santa Terezinha do Progresso (SC),72.45,17.5,14.25,572.73
Santa Terezinha do Tocantins (TO),70.5,25.1,23.82,301.14
Santa Terezinha (MT),70.65,23,16.85,326.47
Santa Terezinha (PE),69.2,29.4,26.53,229.83
Santa Terezinha (SC),74.01,15,6.08,421.9
Santa Vitória do Palmar (RS),76.66,10.6,6.88,657.76
Santa Vitória (MG),76.88,12.6,12.95,698.7
Santiago do Sul (SC),73.68,15.5,12.22,756
Santiago (RS),77.93,9.37,4.8,828.78
Santo Afonso (MT),75.03,15.3,18.53,472.29
Santo Amaro (BA),71.29,23.6,13.4,392.75
Santo Amaro da Imperatriz (SC),78.4,9.3,5.47,867.13
Santo Amaro das Brotas (SE),71.7,22.6,20.36,362.46
Santo Amaro do Maranhão (MA),69.27,31.7,27.45,135.04
Santo Anastácio (SP),76.22,12.9,7.45,726.34
Santo André (PB),72.79,19.6,29.21,273.72
Santo André (SP),76.66,12.58,2.88,1304.31
Santo Ângelo (RS),76.78,10.87,4.48,936.27
Santo Antônio da Alegria (SP),74.8,15,5.94,585.63
Santo Antônio da Barra (GO),75.1,13,19.93,502.83
Santo Antônio da Patrulha (RS),76.97,10.3,9.54,696.41
Santo Antônio da Platina (PR),74.03,14,10.35,765.04
Santo Antônio das Missões (RS),75.1,12.6,9.96,522.77
Santo Antônio de Goiás (GO),74.92,13.3,9.31,574.63
Santo Antônio de Jesus (BA),73.92,16.9,13.08,540.38
Santo Antônio de Lisboa (PI),67.21,37.2,30.34,329.44
Santo Antônio de Pádua (RJ),73.33,16.5,9.8,657.53
Santo Antônio de Posse (SP),75.3,14.3,8.29,695.67
Santo Antônio do Amparo (MG),74.39,16.3,13.57,431.56
Santo Antônio do Aracanguá (SP),75.41,14.1,10.07,662.71
Santo Antônio do Aventureiro (MG),75.45,14.6,14.51,485.5
Santo Antônio do Caiuá (PR),74.21,14.7,14,455.52
Santo Antônio do Descoberto (GO),74.07,14.5,9.83,449.39
Santo Antônio do Grama (MG),74.36,16.3,16.34,393.12
Santo Antônio do Içá (AM),70.52,24,23.18,122.21
Santo Antônio do Itambé (MG),72.65,19.2,25.68,225.85
Santo Antônio do Jacinto (MG),71.33,21.6,31.77,286.56
Santo Antônio do Jardim (SP),75.12,14.5,8.97,635.11
Santo Antônio do Leste (MT),76.15,13.6,10.38,481.45
Santo Antônio do Leverger (MT),73.38,18,17.61,460.13
Santo Antônio do Monte (MG),75.37,14.8,6.78,781.49
Santo Antônio do Palma (RS),76.15,11.2,5.53,1069.61
Santo Antônio do Paraíso (PR),73.8,15.3,13.79,561.33
Santo Antônio do Pinhal (SP),73.69,16.8,8.58,569.08
Santo Antônio do Planalto (RS),78.11,9,5.87,626.67
Santo Antônio do Retiro (MG),72.03,20.3,34.48,183.75
Santo Antônio do Rio Abaixo (MG),74.39,16.3,19.87,370.28
Santo Antônio dos Lopes (MA),67.86,36.6,33.37,240.2
Santo Antônio dos Milagres (PI),71.57,23.2,30.03,208.58
Santo Antônio do Sudoeste (PR),73.42,14.9,12.52,585.95
Santo Antônio do Tauá (PA),70.18,26.3,12.45,331.12
Santo Antônio (RN),71.94,21.2,32.99,323.81
Santo Augusto (RS),75.42,12.2,9.63,866.86
Santo Cristo (RS),74.2,13.8,2.71,832.4
Santo Estêvão (BA),73.47,18,23.32,358.13
Santo Expedito do Sul (RS),76.15,11.3,8.12,547.94
Santo Expedito (SP),74.69,15.2,12.13,497.6
Santo Hipólito (MG),74.44,16.2,18.06,431.72
Santo Inácio do Piauí (PI),71.55,23.3,31.84,235.42
Santo Inácio (PR),75.6,11.9,10.01,829.4
Santópolis do Aguapeí (SP),74.78,15.1,9.03,551.5
Santos Dumont (MG),75.84,14.1,7.69,578.64
Santos (SP),76.13,13.7,2.29,1693.65
São Benedito (CE),70.84,24.1,29.81,263.94
São Benedito do Rio Preto (MA),69.95,29.5,34.12,147.34
São Benedito do Sul (PE),69.17,29.5,35.28,178.27
São Bentinho (PB),72.22,21.1,35.07,286.99
São Bento Abade (MG),73.03,18.5,13.97,458.65
São Bento do Norte (RN),70.62,24.8,35.33,231.17
São Bento do Sapucaí (SP),73.69,16.8,8.88,701.89
São Bento do Sul (SC),77.25,10.6,2.54,923.29
São Bento do Tocantins (TO),69.14,29.2,21.53,324.27
São Bento do Trairí (RN),70.79,24.4,30.43,210.78
São Bento do Una (PE),72.34,20.4,31.95,319.47
São Bento (MA),70.72,27.1,21.23,210.47
São Bento (PB),71.16,24,35.69,328.99
São Bernardino (SC),74.34,14.5,12.78,465.1
São Bernardo do Campo (SP),76.65,12.84,3.18,1212.65
São Bernardo (MA),70.7,27.2,31.8,196.57
São Bonifácio (SC),76.61,11.4,3.81,745.72
São Borja (RS),76.61,10.7,6.93,705.72
São Brás (AL),68.93,33,38.02,220.92
São Brás do Suaçuí (MG),73.04,18.5,5.01,532.9
São Braz do Piauí (PI),71.23,24.2,32.92,220.96
São Caetano de Odivelas (PA),71.01,23.9,12.25,247.8
São Caetano do Sul (SP),78.2,9.5,1.59,2043.74
São Caitano (PE),70.38,25.8,31.58,300.16
São Carlos do Ivaí (PR),74.52,13.4,11.6,635.85
São Carlos (SC),77.01,10.9,4.96,924.02
São Carlos (SP),76.78,11.19,3.81,1079.45
São Cristovão do Sul (SC),73.74,15.4,13.35,507.73
São Cristóvão (SE),73.01,18.77,13.72,388.36
São Desidério (BA),69.52,28.9,27.73,302.2
São Domingos (BA),70.39,26.2,23.51,335.76
São Domingos das Dores (MG),73.01,18.6,13.92,338.29
São Domingos do Araguaia (PA),69.25,29.2,21.48,400.66
São Domingos do Azeitão (MA),68.92,32.9,32.26,288.68
São Domingos do Capim (PA),71.38,22.9,24,189.39
São Domingos do Cariri (PB),71.38,23.4,25.77,341.56
São Domingos do Maranhão (MA),67.76,37,30.34,243.74
São Domingos do Norte (ES),73.66,16,12.85,547.57
São Domingos do Prata (MG),74.36,16.3,9.4,531.92
São Domingos do Sul (RS),75.33,13.1,4.74,1025.84
São Domingos (GO),74.77,13.5,25.19,288.36
São Domingos (PB),70.21,26.7,40.88,253.36
São Domingos (SC),76.66,11.4,9.91,956.19
São Domingos (SE),70.36,26.5,36.1,281.44
São Felipe (BA),72.21,21.1,24.27,268.96
São Felipe D'Oeste (RO),71.78,21,15.9,368.24
São Félix (BA),71.11,24.1,15.98,299.65
São Félix de Balsas (MA),71.65,24.4,31.83,199.47
São Félix de Minas (MG),72.68,19.2,24.33,312.33
São Félix do Araguaia (MT),75.86,14.1,13.3,461.47
São Félix do Coribe (BA),72.03,21.6,18.29,335.9
São Félix do Piauí (PI),69.52,29.3,36.46,309.48
São Félix do Tocantins (TO),71.28,22.9,22.44,244.55
São Félix do Xingu (PA),72.87,19,12.26,423.85
São Fernando (RN),69.98,26.7,29.09,316.21
São Fidélis (RJ),72.21,18.2,10.76,567.23
São Francisco de Assis do Piauí (PI),69.04,30.9,41.71,141.81
São Francisco de Assis (RS),74.1,14,9.21,553.81
São Francisco de Goiás (GO),74.47,13.9,15.77,479.13
São Francisco de Itabapoana (RJ),72.44,17.8,20.08,375.49
São Francisco de Paula (MG),73.69,17.4,14.1,484.92
São Francisco de Paula (RS),76.57,10.7,7.92,628.15
São Francisco de Sales (MG),77.01,12.4,11.24,665.68
São Francisco do Brejão (MA),69.86,29.8,29,253.78
São Francisco do Conde (BA),73.71,17.4,10.83,433.23
São Francisco do Glória (MG),74.96,15.4,16.24,449.2
São Francisco do Guaporé (RO),70.04,25.8,10.42,477.9
São Francisco do Maranhão (MA),68.96,32.8,38.96,182.63
São Francisco do Oeste (RN),71.75,21.7,28.58,298.15
São Francisco do Pará (PA),72.08,21,17.25,279.19
São Francisco do Piauí (PI),69.64,29,34.75,256.79
São Francisco do Sul (SC),76.35,11.8,3.87,801.49
São Francisco (MG),73.26,18.2,19.11,325.23
São Francisco (PB),68.58,31.9,33.32,261.15
São Francisco (SE),68.89,31.1,28.59,267.3
São Francisco (SP),73.82,16.6,12.31,643.37
São Gabriel (BA),67.21,36.7,21.2,245.38
São Gabriel da Cachoeira (AM),71.59,19.32,15.87,355.51
São Gabriel da Palha (ES),75.08,14,11.27,792.54
São Gabriel do Oeste (MS),76.01,16.1,6.08,855.21
São Gabriel (RS),74.31,13.7,8.46,667.06
São Geraldo da Piedade (MG),71.43,21.4,23.47,391.27
São Geraldo do Araguaia (PA),72.55,19.8,20.34,322.95
São Geraldo do Baixio (MG),74.43,16.2,22.43,404.81
São Geraldo (MG),74.85,15.6,11.08,474.14
São Gonçalo do Abaeté (MG),72.75,19,12.6,502.57
São Gonçalo do Amarante (CE),71.47,22.3,21.86,309.14
São Gonçalo do Amarante (RN),74.72,14.6,15.68,377.16
São Gonçalo do Gurguéia (PI),67.06,37.8,26.78,281.43
São Gonçalo do Pará (MG),75.53,14.5,6.98,558.07
São Gonçalo do Piauí (PI),69.34,29.9,29.9,227.37
São Gonçalo do Rio Abaixo (MG),72.52,19.4,12.53,479.04
São Gonçalo do Rio Preto (MG),73.91,17.1,19.15,321.22
São Gonçalo do Sapucaí (MG),75.99,13.8,8.56,648.31
São Gonçalo dos Campos (BA),70.14,27,16.06,419.27
São Gonçalo (RJ),74.96,14.55,3.74,669.3
São Gotardo (MG),76.27,13.4,8.55,795.14
São Jerônimo da Serra (PR),74.31,13.6,18.45,393.81
São Jerônimo (RS),74.34,13.7,9.07,768.93
São João Batista do Glória (MG),75.69,14.3,10.44,676.07
São João Batista (MA),70.09,29.1,23.74,171.53
São João Batista (SC),76.9,11.1,3.66,794.12
São João da Baliza (RR),71.81,20.2,12.63,365.67
São João da Barra (RJ),73.02,16.9,10.38,570.38
São João da Boa Vista (SP),77.23,9.45,4.03,998.31
São João da Canabrava (PI),68.55,32.5,39.44,229.34
São João da Fronteira (PI),70.18,27.3,40.65,198.13
São João da Lagoa (MG),73.78,17.3,16.98,286.35
São João D'Aliança (GO),73.73,15,15.46,457.89
São João da Mata (MG),74.29,16.4,11.49,538.08
São João da Paraúna (GO),74.05,14.5,12.75,619.67
São João da Ponta (PA),71,24,9.22,206.18
São João da Ponte (MG),72.17,20.1,31.62,258.77
São João das Duas Pontes (SP),73.34,17.4,10.58,532.23
São João da Serra (PI),70.39,26.6,41.26,237.11
São João das Missões (MG),71.57,21.2,33.46,181.77
São João da Urtiga (RS),74.67,13.2,9.73,632.23
São João da Varjota (PI),67.46,36.4,38.56,224.99
São João de Iracema (SP),74.97,14.8,11.88,559.18
São João Del Rei (MG),76.57,13,4.18,764.74
São João de Meriti (RJ),74.87,14.56,3.54,597.57
São João de Pirabas (PA),70.18,26.3,22.51,215.54
São João do Araguaia (PA),69.47,28.5,26.95,216.86
São João do Arraial (PI),68.2,33.7,39.6,174.82
São João do Caiuá (PR),72.08,18.1,14.19,545.41
São João do Cariri (PB),72.79,19.6,20.12,373.55
São João do Carú (MA),66.01,43.7,38.22,165.38
São João do Itaperiú (SC),77.37,10.5,7.09,680.25
São João do Ivaí (PR),73.2,15.2,17.29,540.31
São João do Jaguaribe (CE),72.04,20.8,27.29,378.76
São João do Manhuaçu (MG),75.16,15.1,15.27,484.15
São João do Manteninha (MG),73.3,18.1,22.65,385.78
São João do Oeste (SC),77.35,10.5,1.04,881.09
São João do Oriente (MG),73.32,18.1,17.77,404.69
São João do Pacuí (MG),72.85,18.8,24.17,346.53
São João do Paraíso (MA),70.16,28.8,23.03,251.04
São João do Paraíso (MG),73.46,17.8,30.17,300.81
São João do Pau D'Alho (SP),76.26,12.9,11.7,680.13
São João do Piauí (PI),71.16,24.4,23.79,368.36
São João do Polêsine (RS),75.84,12.4,4.88,841.33
São João do Rio do Peixe (PB),71.94,21.8,29.64,306.87
São João do Sabugi (RN),71.73,21.8,21.84,379.2
São João do Soter (MA),67.63,37.5,43.11,165.1
São João dos Patos (MA),68.55,34.2,25.98,362.47
São João do Sul (SC),75.39,13,8.25,558.4
São João do Tigre (PB),70.45,26,38.3,207.42
São João do Triunfo (PR),73.08,15.4,8.49,471.43
São João Evangelista (MG),73.37,18,17.94,378.41
São João Nepomuceno (MG),75.98,13.9,5.62,608.32
São João (PE),71.09,23.7,35.72,269.44
São João (PR),75.27,12.4,8.2,605.55
São Joaquim da Barra (SP),75.8,12.5,5.28,799.93
São Joaquim de Bicas (MG),75.62,14.4,9.21,498.26
São Joaquim do Monte (PE),69.47,28.6,37.93,244.22
São Joaquim (SC),74.01,15,6.19,641.75
São Jorge D'Oeste (PR),73.75,14.4,7.79,641.7
São Jorge do Ivaí (PR),73.59,15.6,9.56,738.42
São Jorge do Patrocínio (PR),73.62,14.6,15.47,630.8
São Jorge (RS),75.73,12.6,4.07,853.6
São José da Barra (MG),77.56,11.7,7.04,714.22
São José da Bela Vista (SP),75.61,13.8,11.97,548.31
São José da Boa Vista (PR),71.88,18.4,12.39,458.85
São José da Coroa Grande (PE),69.15,29.6,25.19,304.5
São José da Lagoa Tapada (PB),68.34,32.7,45.42,216.66
São José da Laje (AL),70.28,28.6,33.99,284.02
São José da Lapa (MG),75.63,14.4,5.81,540.26
São José da Safira (MG),70.91,22.4,25.68,334.87
São José das Missões (RS),71.9,17.4,10.04,462.15
São José das Palmeiras (PR),75.64,11.9,14.97,570.26
São José da Tapera (AL),67.2,39.2,40.63,188.84
São José da Varginha (MG),76.41,13.2,7.73,555.77
São José da Vitória (BA),66.16,40.7,30.62,250.42
São José de Caiana (PB),70.7,25.3,34.97,238.28
São José de Espinharas (PB),72.41,20.6,34.35,234.08
São José de Mipibu (RN),69.86,27.1,26.31,331.85
São José de Piranhas (PB),70.31,26.4,26.92,321.53
São José de Princesa (PB),70.89,24.7,34.24,221.16
São José de Ribamar (MA),72.38,20.49,7.21,435.4
São José de Ubá (RJ),72.88,17.2,15.64,410.44
São José do Alegre (MG),75.2,15,10.14,537.13
São José do Barreiro (SP),73.8,16.7,11.58,506.16
São José do Belmonte (PE),71.12,23.7,30.43,275.14
São José do Bonfim (PB),67.76,34.7,28.7,244.14
São José do Brejo do Cruz (PB),71.58,22.8,30.06,223.11
São José do Calçado (ES),73.81,15.8,13.07,514.57
São José do Campestre (RN),72.34,20.2,31.68,267.55
São José do Cedro (SC),74.79,13.9,6.36,866.73
São José do Cerrito (SC),74.61,14.1,13.76,375.44
São José do Divino (MG),71.7,20.9,22.71,396.81
São José do Divino (PI),71.5,23.4,39.02,214.48
São José do Egito (PE),71.13,23.6,23.56,338.9
São José do Goiabal (MG),73.83,17.2,13.21,476.92
São José do Herval (RS),75.8,11.7,17.67,626.93
São José do Hortêncio (RS),74.46,13.5,1.43,693.46
São José do Inhacorá (RS),74.29,13.7,2.77,720.69
São José do Jacuípe (BA),68.54,32.1,30.77,253.57
São José do Jacuri (MG),69.96,24.4,21.85,298.57
São José do Mantimento (MG),74.36,16.3,17.43,359.93
São José do Norte (RS),72.52,16.4,18.48,493.78
São José do Ouro (RS),75.73,11.8,6.26,901.51
São José do Peixe (PI),70.96,25,32.51,242.73
São José do Piauí (PI),67.02,37.9,40.48,275.18
São José do Povo (MT),72.58,19.4,15.94,402.85
São José do Rio Claro (MT),75.47,14.6,12.88,580.99
São José do Rio Pardo (SP),77.05,10.9,5.03,818.61
São José do Rio Preto (SP),75.74,13.6,3.32,1169.16
São José do Sabugi (PB),71.88,22,29.05,302.36
São José dos Ausentes (RS),73.05,15.6,7.65,529.71
São José dos Basílios (MA),68.13,35.7,35.88,180.77
São José dos Campos (SP),76.27,13.49,3.09,1190.96
São José dos Cordeiros (PB),71.69,22.5,24.22,233.71
São José do Seridó (RN),73.89,16.4,17.46,414.22
São José dos Pinhais (PR),76.53,10.63,3.6,846.93
São José dos Quatro Marcos (MT),73.95,17,12.93,653.02
São José dos Ramos (PB),69.26,29.7,41.29,212.12
São José do Sul (RS),75.14,13.4,2.42,989.48
São José do Vale do Rio Preto (RJ),73.33,16.5,10.79,517.99
São José do Xingu (MT),74.7,15.8,15.69,635.63
São José (SC),77.81,10,2.73,1157.43
São Julião (PI),71.47,23.5,40.97,321.2
São Leopoldo (RS),76.65,10.09,3.32,939.93
São Lourenço da Mata (PE),72.57,19.8,16.94,364.43
São Lourenço da Serra (SP),74.36,15.7,8.75,640.64
São Lourenço do Oeste (SC),73.43,15.9,7.14,841.27
São Lourenço do Piauí (PI),70.17,27.3,26.34,261.24
São Lourenço do Sul (RS),75.95,11.5,5.3,713.88
São Lourenço (MG),77.28,11.5,4.47,831.32
São Ludgero (SC),75.01,13.6,4.01,884.18
São Luís de Montes Belos (GO),73.55,15.2,10.35,712.23
São Luís do Curu (CE),68.13,32.4,23.96,257.9
São Luís do Paraitinga (SP),74.54,15.4,10.53,590.68
São Luis do Piauí (PI),70.44,26.5,36.37,202.89
São Luís do Quitunde (AL),67.05,39.8,36.6,244.85
São Luís Gonzaga do Maranhão (MA),67.94,36.4,38.3,182.83
São Luís (MA),73.76,18.1,4.92,805.36
São Luíz do Norte (GO),73.04,16,17.51,435.99
São Luiz Gonzaga (RS),76.31,11.1,7.14,698.77
São Luiz (RR),72.29,19,13.27,344.73
São Mamede (PB),70.87,24.8,25.95,371.01
São Manoel do Paraná (PR),74.5,14.3,14.31,710.62
São Manuel (SP),73.29,17.5,7.46,773.82
São Marcos (RS),76.31,11.1,4.11,991.51
São Martinho da Serra (RS),75.89,11.6,10.07,482.31
São Martinho (RS),74.78,13.1,6.52,771.81
São Martinho (SC),74.8,13.8,4.48,870.77
São Mateus do Maranhão (MA),68.37,34.8,34.02,396.29
São Mateus do Sul (PR),75.29,12.3,4.09,669.78
São Mateus (ES),75.55,13.3,10.5,699.99
São Miguel Arcanjo (SP),72.95,18.1,8.52,657.07
São Miguel da Baixa Grande (PI),71.45,23.6,40.21,256.03
São Miguel da Boa Vista (SC),72.67,17.1,11.94,767.85
