Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 18 anos ou mais de idade 2010,Renda per capita 2010
Arenápolis (MT),72.56,19.4,13.34,540.59
Arenópolis (GO),74.53,13.8,16.55,531.91
Arês (RN),68.47,31.5,27.63,309.04
Argirita (MG),74,16.9,11.11,442.45
Aricanduva (MG),72.22,20,23.67,249.75
Arinos (MG),73.88,17.1,16.29,349.52
Aripuanã (MT),73.97,17,10.8,558.26
Ariquemes (RO),73.36,19.2,8.53,689.95
Ariranha do Ivaí (PR),72.66,16,16.19,420.24
Ariranha (SP),73.75,16.7,8.33,751.35
Armação dos Búzios (RJ),74.44,14.8,4.83,851.39
Armazém (SC),77.92,9.8,6.14,814.95
Arneiroz (CE),69.41,28.3,32.83,269.77
Aroazes (PI),70.11,27.5,33.15,265.91
Aroeiras do Itaim (PI),69.27,30.1,38.57,182.29
Aroeiras (PB),69.71,28.2,38.31,226.05
Arraial do Cabo (RJ),73.31,16.5,4.8,714.47
Arraial (PI),70.66,25.8,34.72,195.46
Arraias (TO),74.73,14.5,22.83,418.64
Arroio do Meio (RS),76.62,11.4,1.97,850.06
Arroio do Padre (RS),76.59,10.7,4.83,883.18
Arroio do Sal (RS),75.61,12,4.11,800.4
Arroio dos Ratos (RS),74.98,12.8,7.47,623.54
Arroio do Tigre (RS),75.9,11.6,7.5,654.51
Arroio Grande (RS),73.43,15,8.62,528.13
Arroio Trinta (SC),77.38,10.5,5.87,1029.14
Artur Nogueira (SP),74.63,15.3,5.83,823.24
Aruanã (GO),74.55,13.8,13.68,654.67
Arujá (SP),76.95,11,5.21,910.67
Arvoredo (SC),75.5,12.9,10.55,675.6
Arvorezinha (RS),74.04,14.1,8.9,675.18
Ascurra (SC),77.08,10.8,4.36,793.09
Aspásia (SP),76.83,12.1,14.24,619.43
Assaí (PR),74.99,12.7,10.59,723.56
Assaré (CE),71.95,21,34.51,282.6
Assis Brasil (AC),71.19,24.3,22.42,291.33
Assis Chateaubriand (PR),76.4,10.9,8.66,676.1
Assis (SP),76.91,11,4.3,967.39
Assunção do Piauí (PI),67.35,36.7,41.85,141.79
Assunção (PB),69.3,29.6,28.58,336.67
Astolfo Dutra (MG),76.5,13.1,7.38,572.06
Astorga (PR),74.08,14,8.59,875.14
Atalaia (AL),70.13,29,36.35,237.33
Atalaia do Norte (AM),68.95,28.6,37.39,159.21
Atalaia (PR),76.24,11.1,9.94,649.55
Atalanta (SC),73.1,16.4,4.25,781.32
Ataléia (MG),73.77,17.3,27.67,317.64
Atibaia (SP),76.03,12.77,5.17,1063.52
Atilio Vivacqua (ES),75.45,13.5,11.11,493.81
Augustinópolis (TO),72.56,19.6,24.4,364.32
Augusto Corrêa (PA),71.3,23.1,28.83,159.05
Augusto de Lima (MG),73.9,17.1,15.54,384.1
Augusto Pestana (RS),75.84,12.4,4.2,1016.34
Augusto Severo (RN),71.46,22.5,31.12,388.39
Áurea (RS),75.48,12.1,5.76,686.1
Aurelino Leal (BA),70.55,25.8,29.26,253.19
Auriflama (SP),75.41,14.1,7.9,829.68
Aurilândia (GO),75.17,13,16.36,489.23
Aurora (CE),70.81,24.1,30.24,255.78
Aurora do Pará (PA),71.38,22.9,25.21,184.39
Aurora do Tocantins (TO),73.23,17.9,22.47,535.8
Aurora (SC),77.21,10.7,4.93,841.85
Autazes (AM),72.91,17.8,17.11,228.43
Avaí (SP),74.77,15.1,8.43,531.2
Avanhandava (SP),74,16.3,9.24,579.71
Avaré (SP),76.97,10.49,5.06,854.42
Aveiro (PA),69.87,27.3,15.12,148.71
Avelino Lopes (PI),68.3,33.4,24.81,218.97
Avelinópolis (GO),74.7,13.6,14.39,556.03
Axixá do Tocantins (TO),69,29.7,26.26,324.56
Axixá (MA),71.54,24.7,18,223.51
Babaçulândia (TO),72.52,19.7,22.16,313.37
Bacabal (MA),70.18,28.8,22.97,375.57
Bacabeira (MA),71.09,26,19.88,257.4
Bacuri (MA),69.24,31.8,26.15,230.45
Bacurituba (MA),65.86,44.3,25.98,152.38
Bady Bassitt (SP),73.31,17.5,4.11,783.57
Baependi (MG),74.97,15.4,10.7,497.21
Bagé (RS),75.86,11.57,5.2,795.56
Bagre (PA),71.59,22.3,26.08,159.41
Baía da Traição (PB),68.84,31.1,27.6,231.78
Baía Formosa (RN),68.05,32.9,24.56,315.25
Baianópolis (BA),70.8,25,33.27,235.05
Baião (PA),71.18,23.5,14.93,226.99
Baixa Grande (BA),71.49,23.1,27.86,243.98
Baixa Grande do Ribeiro (PI),70.07,27.6,22.46,225.94
Baixio (CE),70.77,24.2,25.58,265.94
Baixo Guandu (ES),73.66,16,14.03,516.34
Balbinos (SP),73.55,17.1,11.17,586.02
Baldim (MG),72.21,20,10.05,458.08
Baliza (GO),74.15,14.4,18.74,365.35
Balneário Arroio do Silva (SC),76.49,11.6,5.24,866.42
Balneário Barra do Sul (SC),75.64,12.7,3.85,676.33
Balneário Camboriú (SC),78.62,8.7,1.55,1625.59
Balneário Gaivota (SC),75.62,12.7,6.65,768.73
Balneário Piçarras (SC),77.15,10.7,4.81,826.13
Balneário Pinhal (RS),75.17,12.5,5.51,662.85
Bálsamo (SP),75.08,13.4,7.93,832.51
Balsa Nova (PR),74.38,13.6,4.85,652.54
Balsas (MA),73.44,19.5,14,531.6
Bambuí (MG),77.2,12.2,8.05,777.46
Banabuiú (CE),71.71,21.7,33.25,229.99
Bananal (SP),77.29,11.5,8.46,595.74
Bananeiras (PB),70.98,24.5,38.27,253.3
Bandeira do Sul (MG),73.14,18.4,10.47,554.52
Bandeira (MG),73.64,17.5,32.83,302
Bandeirante (SC),72.68,17.1,9.52,534.25
Bandeirantes do Tocantins (TO),72.79,19,18.74,278
Bandeirantes (MS),75.89,16.3,12.88,602.02
Bandeirantes (PR),74.16,13.9,9.67,679.72
Bannach (PA),72.06,21.1,19.54,416.31
Banzaê (BA),71.15,24,28.6,228.54
Barão de Antonina (SP),74.22,16,9.98,536.63
Barão de Cocais (MG),76.46,13.2,4.97,546.85
Barão de Cotegipe (RS),75.49,12.1,4.02,823.2
Barão de Grajaú (MA),69.58,30.7,24.45,292.55
Barão de Melgaço (MT),74.2,16.6,18.48,330.46
Barão de Monte Alto (MG),74.64,15.9,17.66,377.1
Barão do Triunfo (RS),74.28,13.7,10.41,441.81
Barão (RS),75.14,13.4,3.19,947.28
Baraúna (PB),68.05,33.7,30.32,211.36
Baraúna (RN),70.36,25.6,30.18,263.68
Barbacena (MG),77.88,10.53,5.76,854.27
Barbalha (CE),74.02,16,20.19,362.9
Barbosa Ferraz (PR),73.47,14.8,16.92,507.7
Barbosa (SP),75.57,13.9,10.62,536.37
Barcarena (PA),73.04,18.6,9.17,437.43
Barcelona (RN),68.58,31.1,32.07,266.71
Barcelos (AM),68.69,29.5,35.24,237.29
Bariri (SP),77.04,11.8,6.15,781.34
Barra (BA),69.99,27.4,26.06,183.03
Barra Bonita (SC),74.79,13.9,14.64,594.28
Barra Bonita (SP),77.12,10.8,5.87,915.28
Barracão (PR),74.99,12.7,8.96,688.92
Barracão (RS),78.12,8.9,9.29,667.95
Barra da Estiva (BA),67.99,34,19.55,270.66
Barra D'Alcântara (PI),71.59,23.2,33.6,211.18
Barra de Guabiraba (PE),68.54,31.6,37.5,257.4
Barra de Santana (PB),69.81,28,33.38,211.08
Barra de Santa Rosa (PB),70.2,26.8,39.87,233.51
Barra de Santo Antônio (AL),68.9,33.1,30.24,247.81
Barra de São Francisco (ES),73.9,15.6,16.77,527.84
Barra de São Miguel (AL),71.02,26.3,25.59,422.78
Barra de São Miguel (PB),68.7,31.5,25.09,302.44
Barra do Bugres (MT),74.05,16.9,14.25,563.98
Barra do Chapéu (SP),71.72,20.3,13.28,370.97
Barra do Choça (BA),71.21,23.8,30.02,266.13
Barra do Corda (MA),70.75,27,30.27,305.61
Barra do Garças (MT),74.01,17,7.72,789.99
Barra do Guarita (RS),75.68,11.8,10.6,609.31
Barra do Jacaré (PR),73.8,15.3,12.63,543.58
Barra do Mendes (BA),72.04,21.6,15.94,292.41
Barra do Ouro (TO),70.6,24.8,24.79,256.28
