;NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_COR_RACA;TP_ESCOLA;SG_UF_PROVA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q001;Q002;Q006;Q012;Q019;Q025
153;210059364967;2023;3;F;Branca;Pública;BA;576.4;604.9;599.2;622.0;680.0;D;E;C;Sim, uma;Sim, uma;Sim
154;210058253790;2023;2;M;Branca;Não Respondeu;RJ;617.0;692.6;608.4;836.9;940.0;F;G;Q;Sim, uma;Sim, quatro ou mais;Sim
155;210058868002;2023;2;M;Parda;Não Respondeu;SE;552.2;474.8;457.5;427.6;480.0;E;E;D;Sim, uma;Sim, uma;Sim
156;210058168348;2023;3;F;Preta;Pública;PA;384.9;395.2;446.6;442.0;520.0;H;D;C;Sim, uma;Sim, duas;Não
157;210059070667;2023;11;F;Preta;Não Respondeu;PB;;;;;;B;B;B;Sim, uma;Sim, uma;Sim
158;210060634922;2023;9;M;Preta;Não Respondeu;RJ;587.8;589.9;613.6;600.5;760.0;D;C;D;Sim, uma;Sim, uma;Sim
159;210058989798;2023;3;M;Amarela;Não Respondeu;AM;490.1;588.3;564.4;551.6;600.0;E;E;D;Sim, uma;Sim, três;Sim
160;210059504116;2023;4;F;Parda;Não Respondeu;AM;;;;;;B;C;E;Sim, duas;Sim, duas;Sim
161;210058112192;2023;3;M;Parda;Pública;AM;482.4;527.3;500.1;621.3;480.0;E;E;B;Sim, uma;Sim, duas;Sim
162;210058315754;2023;3;M;Branca;Pública;RJ;566.3;667.3;624.7;688.5;840.0;E;E;B;Sim, uma;Sim, uma;Sim
163;210061226804;2023;3;F;Branca;Pública;SP;426.4;605.7;576.1;528.6;820.0;D;B;F;Sim, uma;Sim, uma;Sim
164;210061583102;2023;2;M;Preta;Pública;ES;561.8;631.9;580.2;580.4;840.0;H;E;F;Sim, uma;Sim, uma;Sim
165;210058972508;2023;15;M;Branca;Não Respondeu;CE;493.8;554.9;479.0;441.3;560.0;A;B;F;Sim, uma;Sim, uma;Sim
166;210061832871;2023;1;M;Parda;Não Respondeu;MG;498.0;397.3;351.6;467.1;440.0;C;C;F;Sim, uma;Sim, uma;Sim
167;210058133111;2023;2;M;Parda;Não Respondeu;RJ;575.7;664.2;624.4;764.4;700.0;G;F;Q;Sim, uma;Sim, quatro ou mais;Sim
168;210058789223;2023;2;M;Preta;Não Respondeu;MG;583.0;627.1;563.9;724.2;700.0;F;F;B;Sim, uma;Não;Não
169;210061388547;2023;5;M;Parda;Não Respondeu;MG;;;;;;H;H;E;Sim, uma;Sim, duas;Sim
170;210060510757;2023;10;F;Parda;Pública;PE;487.2;406.5;488.5;411.2;440.0;A;E;B;Sim, uma;Não;Não
171;210062008165;2023;4;F;Parda;Não Respondeu;BA;;;;;;H;H;A;Sim, uma;Sim, uma;Sim
172;210058158109;2023;3;M;Parda;Não Respondeu;BA;366.6;452.2;428.9;569.2;320.0;B;E;C;Sim, uma;Sim, uma;Não
173;210058751815;2023;2;F;Branca;Privada;MG;522.6;615.6;589.4;614.3;920.0;C;F;H;Sim, uma;Sim, duas;Sim
174;210061444658;2023;4;M;Parda;Não Respondeu;PA;;;;;;G;G;P;Sim, uma;Sim, três;Sim
175;210058803818;2023;3;F;Amarela;Pública;PI;;;;;;D;C;B;Sim, uma;Sim, duas;Sim
176;210061134495;2023;7;M;Parda;Não Respondeu;RN;;;;;;B;E;B;Sim, uma;Sim, uma;Sim
177;210060619123;2023;2;F;Parda;Não Respondeu;PB;464.3;570.6;575.0;599.2;760.0;E;E;B;Sim, uma;Sim, uma;Sim
178;210059616835;2023;4;M;Preta;Não Respondeu;MG;450.5;594.7;560.1;434.8;780.0;E;E;C;Sim, uma;Sim, uma;Não
179;210061488661;2023;2;M;Preta;Pública;MG;;;;;;D;D;C;Sim, uma;Sim, uma;Sim
180;210060653602;2023;1;F;Branca;Não Respondeu;RS;567.3;565.4;633.6;561.1;0.0;F;G;J;Sim, uma;Sim, duas;Sim
181;210059752550;2023;13;F;Preta;Não Respondeu;MA;;;;;;A;A;E;Sim, uma;Sim, uma;Sim
182;210060606702;2023;3;M;Parda;Pública;MA;329.4;321.0;371.6;477.9;440.0;D;D;A;Sim, uma;Sim, uma;Sim
183;210058693393;2023;12;M;Branca;Não Respondeu;RN;463.8;522.5;540.4;547.0;340.0;E;B;D;Sim, uma;Sim, uma;Sim
184;210059099302;2023;2;M;Branca;Não Respondeu;SC;501.4;469.7;504.2;650.7;700.0;G;E;I;Sim, uma;Sim, uma;Sim
185;210060329365;2023;14;F;Parda;Não Respondeu;RJ;457.1;470.4;522.3;347.5;560.0;G;E;B;Sim, uma;Sim, duas;Sim
186;210061949586;2023;2;F;Branca;Pública;SP;502.7;554.8;525.4;635.8;880.0;E;E;C;Sim, uma;Sim, uma;Sim
187;210060072991;2023;2;F;Branca;Não Respondeu;SC;519.5;547.8;576.0;662.1;600.0;E;G;G;Sim, uma;Sim, uma;Sim
188;210058722973;2023;8;M;Branca;Não Respondeu;GO;757.5;739.5;651.2;839.7;940.0;E;E;F;Sim, uma;Sim, três;Sim
189;210060442670;2023;4;F;Parda;Não Respondeu;RJ;;;;;;E;E;G;Sim, uma;Sim, duas;Sim
190;210061048980;2023;2;F;Branca;Pública;MG;487.1;485.7;483.6;443.5;600.0;C;E;C;Sim, uma;Sim, uma;Sim
191;210061237823;2023;2;F;Parda;Não Respondeu;GO;517.3;424.3;482.1;506.6;440.0;E;E;C;Sim, uma;Sim, uma;Sim
